,demand,hdd,t2m3,rh,t2m4,t2min,cdd,w10,q,mtpr,t2m,msdwswrf,t2max
2010-01-07,186114.7102689802,0.007731551884467339,295.46256503456044,71.38448587145369,295.0373062097011,292.15390407497046,0.12581852373510305,2.6700032482363767,11.394803819794364,1.2209936244824609e-05,294.489710096232,220.57759974802553,297.42074254556144
2010-01-08,191585.53391294758,0.004078235235775217,295.27955797460186,70.64816001725245,295.5843805086267,291.5119861340711,0.33782969101459087,2.3441847534579194,12.254508564802766,5.714371123362134e-06,295.94952429904936,283.4363423303969,299.69065738691813
2010-01-11,215503.16750874117,2.5380607031516275e-05,298.44961176708495,70.37202707089618,297.82465681892404,293.7174497286924,1.091114584727309,3.2476421447378216,13.343313646944551,3.1848278100729264e-07,297.6287312191404,308.8492786039227,301.40307671881595
2010-01-12,240091.35458470628,0.0,298.54346962853754,61.566509595126334,298.94597963455834,294.9187452256326,3.597899947919438,2.4697178832879763,14.070294523662268,2.9315514172573984e-06,300.4347978427388,338.2326040006319,306.59555339117634
2010-01-13,204167.49376627378,0.004881173350210229,297.6560825421643,73.89237507935108,297.63376872564436,291.80147784532005,0.21719832828150618,4.40856593425107,12.213958987337723,2.063132758798841e-05,294.9043934718931,284.8723028782544,301.0152102767119
2010-01-14,192194.63005761965,0.01774442286422448,296.4762033251413,76.57569772793639,296.7644065959826,292.4444238751455,0.14587481000487995,3.0880742641407983,11.972656267394148,1.3714212212094585e-05,294.0890985575576,167.00623329017466,296.819169637959
2010-01-15,191872.52346329787,0.017745152931693486,294.84899509817825,75.07669820192525,296.24551357496983,292.3891174151039,0.3069479387704125,2.072049983945158,12.77194789409111,1.6529733695084925e-05,295.5531397686596,186.52147299558783,297.9359215968231
2010-01-18,186056.93640191146,0.2938905699239717,293.16274093333914,44.992513246955404,293.7604143635872,285.30283502120153,0.04992968909667448,4.008820325697835,5.920287129943794,2.9543543243122536e-06,291.0262166514363,356.2615555062846,296.0671437019136
2010-01-19,184015.55329576522,0.38291384242971216,292.1572940005621,45.24109388737239,292.955246080143,287.020297461453,2.6102417947751686e-05,1.6524681618071841,6.365813497604868,-1.832753748666454e-07,292.3324974793867,371.29041254169067,297.13365045152113
2010-01-20,199206.9123135776,0.3830307534718187,293.19203563901914,47.87835146523186,293.1723012298194,290.47190123622784,0.21188343188434547,1.4612692403128429,8.52251838341318,-3.1976865164615886e-07,296.2170442286792,367.4803257177949,302.5210429553567
2010-01-21,224424.73345281702,0.32349610154065345,295.6013523708212,60.64250195760877,294.4576402488914,292.163794799484,1.468494772496201,1.226434068048856,12.09977963883591,-2.8538585795632275e-07,298.25417440854335,355.76047274071504,304.9406621689182
2010-01-22,235810.92671063775,0.08925141120328324,298.875300503505,39.07950650198135,297.2396730335681,296.82416533402983,5.3125617484462655,3.83945120813373,9.708876320352326,2.4565070714924726e-07,302.15434902708296,343.39346285686116,308.2482305838913
2010-01-25,200629.60420333355,0.0008628318082280547,296.7100545186078,72.28427365136903,298.0711954444597,293.98253461256434,0.7312414431647739,2.058138101813664,13.690765941308953,3.0555423260269825e-06,297.29954539794807,269.2750111476484,301.6614723649749
2010-01-27,208657.45483334496,0.0006108753946177002,297.38149877027064,76.6191428003048,296.78353194098867,293.4372537741712,0.34819144841558297,2.3410825409300293,13.459395159572813,2.5121060441729474e-05,295.99305385912584,232.36502512465367,300.2436246433217
2010-01-28,206433.07085456402,0.00016259691019612354,296.75116183242494,77.07513649553199,296.888323665969,291.4350612558066,0.2394342352635776,1.3227699287043682,13.13278916045081,4.224552461165913e-05,295.4085051710053,228.61166428624165,300.08815066861996
2010-01-29,198447.4940225641,0.0010119838940234552,295.8919674128103,70.7648025005415,296.6319376924762,292.3838708083007,0.27478149412578884,4.389499383872779,12.669617451166836,3.482129651437456e-05,296.2739916697249,279.36102656927534,301.32242404738474
2010-02-01,209794.84648243626,0.003128495113252455,296.2959140302271,67.1642646962333,296.290508863233,292.9042134324821,0.3644524510266308,4.32322772765315,12.163571343745657,1.44992492716574e-05,296.5178713031763,255.37726613685672,299.70683383506173
2010-02-02,199550.79331505485,0.003567293484914711,296.15091179270496,73.81443697949322,296.119112684355,292.8820983522783,0.17581428948548103,4.927470328437822,12.659371383855735,5.066914546069038e-05,295.58841132822454,238.25571888398375,297.96087977971223
2010-02-03,207844.01233747197,0.0036860206663290847,296.19367716015495,80.09008069463539,296.23185223695134,293.4063833078933,0.34615827263413534,4.618799202265469,14.555932336871487,7.90144187041209e-05,296.474391293267,210.48164228099336,298.42911730403245
2010-02-04,209837.8585605037,0.0030837965613531504,296.18383944982486,85.29417744691675,296.26741667729794,293.98972847219454,0.3015387580180857,3.5700955511317827,15.63919924199576,0.0001594905170473684,296.4883722089271,172.58731740050968,297.91866341173244
2010-02-05,200926.0669961392,0.00851137217071983,296.19889517636284,85.67107773727498,296.0463462879383,292.70207164278963,0.09702999528196302,2.4521927894936884,14.945208500813445,0.0002357562516528113,295.63358311674193,130.68857460246824,298.1443145411401
2010-02-08,211033.75070333903,0.013494783928078303,295.45849251121933,81.14399742298359,295.5023371480319,292.3598344423287,0.19977669004449636,2.0240781883599,14.17176528434045,2.123147408653996e-05,295.91831747361675,215.89678573481413,298.6297615482683
2010-02-09,216646.16311567085,0.006645869573132221,296.0198445744605,77.57282603563453,295.7163199784885,292.2620361251826,0.2707787444511688,2.0386625490430172,14.014231194907808,8.737319186571814e-06,296.489529372702,278.26031904193826,299.7199785143023
